province,uezd
Arkhangel'sk,Arkhangel'skii
Arkhangel'sk,Pinezhskii
Arkhangel'sk,Shenkurskii
Astrakhan,Astrakhanskii
Astrakhan,Ienotaevskii
Astrakhan,Krasnoiarskii
Astrakhan,Tsarevskii
Astrakhan,Chernoiarskii
Bessarabia,Kashinevskii
Bessarabia,Benderskii
Bessarabia,Beletskii
Bessarabia,Orgeevskii
Bessarabia,Sorokskii
Bessarabia,Khotinksii
Bessarabia,Iasskii
Chernigov,Chernigovskii
Chernigov,Borzenskii
Chernigov,Glukhovskii
Chernigov,Gorodnitskii
Chernigov,Kozeletskii
Chernigov,Konotopskii
Chernigov,Krolevetskii
Chernigov,Mglinskii
Chernigov,Novgorod-Severskii
Chernigov,Novozybkovskii
Chernigov,Nezhinskii
Chernigov,Osterskii
Chernigov,Sosnitskii
Chernigov,Starodubskii
Chernigov,Surazhskii
Ekaterinoslav',Ekaterinoslavskii
Ekaterinoslav',Aleksandrovskii
Ekaterinoslav',Bakhmutskii
Ekaterinoslav',Verkhnedneprovskii
Ekaterinoslav',Novomoskovskii
Ekaterinoslav',Pavlogradskii
Ekaterinoslav',Slavianoserbskii
Ekaterinoslav',Rostovskii
Estliand,Vezenbergskii
Estliand,Veisenshteinskii
Estliand,Gapsal'skii
Grodnno,Grodnenskii
Grodnno,Brestkii
Grodnno,Belostokskii
Grodnno,Bel'skii
Grodnno,Volkovyskii
Grodnno,Kobrinskii
Grodnno,Pruzhanskii
Grodnno,Slonimskii
Grodnno,Sokol'skii
Iaroslav',Iaroslavskii
Iaroslav',Danilovskii
Iaroslav',Liubimskii
Iaroslav',Mologskii
Iaroslav',Myshkinskii
Iaroslav',Poshekhonskii
Iaroslav',Romanov-Borisoglebskii
Iaroslav',Rostovskii
Iaroslav',Rybinskii
Iaroslav',Uglichskii
Kaluzha,Kaluzhski
Kaluzha,Borovskii
Kaluzha,Zhizdrinskii
Kaluzha,Kozel'skii
Kaluzha,Likhvinskii
Kaluzha,Maloiaroslavetskii
Kaluzha,Medynskii
Kaluzha,Meschovskii
Kaluzha,Mosal'skii
Kaluzha,Peremyshl'skii
Kaluzha,Taruzkii
Kazan,Kazanskii
Kazan,Laishevskii
Kazan,Mamadyshskii
Kazan,Sviiazhskii
Kazan,Spasskii
Kazan,Tetiushskii
Kazan,Tsarevokokshaiskii
Kazan,Tsivil'skii
Kazan,Cheboksarskii
Kazan,Chistopol'skii
Kazan,Iadrinskii
Khar'kov,Khar'kovskii
Khar'kov,Akhtyrskii
Khar'kov,Bogodukhovskii
Khar'kov,Valkovskii
Khar'kov,Volchanskii
Khar'kov,Zmievskii
Khar'kov,Iziumskii
Khar'kov,Kupianskii
Khar'kov,Lebedinskii
Khar'kov,Starobel'skii
Khar'kov,Sumskii
Kherson,Khersonskii
Kherson,Aleksandriiskii
Kherson,Anan'evskii
Kherson,Elizavetgradskii
Kherson,Odesskii
Kherson,Turaspol'skii
Kiev,Kievskii
Kiev,Berdichevskii
Kiev,Vasil'kovskii
Kiev,Zvenigorodskii
Kiev,Kanevskii
Kiev,Lipovetskii
Kiev,Radomysl'skii
Kiev,Skvirskii
Kiev,Tarashchanskii
Kiev,Umanskii
Kiev,Cherkasskii
Kiev,Chigirinskii
Kostroma,Kostromskoi
Kostroma,Byiskii
Kostroma,Varnavinskii
Kostroma,Vetluzhskii
Kostroma,Galichskii
Kostroma,Kineshemskii
Kostroma,Kologrivskii
Kostroma,Makar'evskii
Kostroma,Nerekhtskii
Kostroma,Soligalichskii
Kostroma,Chukhlomskii
Kostroma,Iur'evetskii
Kovno,Kovenskii
Kovno,Vilkomirskii
Kovno,Novoaleksandrov
Kovno,Ponevezhskii
Kovno,Rossienskii
Kovno,Tel'shevskii
Kovno,Shavel'skii
Kurliand,Bausskii
Kurliand,Vindavskii
Kurliand,Gol'dingenskii
Kurliand,Grobinskii
Kurliand,Illukstskii
Kurliand,Fridrikhshtadtskii
Kursk,Kurskii
Kursk,Belgorodskii
Kursk,Graivoronskii
Kursk,Dmitrievskii
Kursk,Korochanskii
Kursk,L'govskii
Kursk,Novooskol'skii
Kursk,Oboianskii
Kursk,Putivl'skii
Kursk,Ryl'skii
Kursk,Starooskol'skii
Kursk,Sudzhanskii
Kursk,Timskii
Kursk,Fatezhskii
Kursk,Shchigrovskii
Lifliand,Rizhskii
Lifliand,Valkskii
Lifliand,Vendenskii
Lifliand,Verroskii
Lifliand,Pernovskii
Lifliand,Fellinskii
Lifliand,Iur'evskii
Minsk,Minskii
Minsk,Bobruiskii
Minsk,Borisovskii
Minsk,Igrumenskii
Minsk,Mozyrskii
Minsk,Novogrudskii
Minsk,Pinskii
Minsk,Rechitskii
Minsk,Slutskii
Mogilev,Mogilevskii
Mogilev,Bykhovskii
Mogilev,Gomel'skii
Mogilev,Goretskii
Mogilev,Klimovitskii
Mogilev,Mstislavskii
Mogilev,Orshanskii
Mogilev,Rogachevskii
Mogilev,Senninskii
Mogilev,Chausovskii
Mogilev,Cherikovskii
Moscow,Moskovskii
Moscow,Bogorodskii
Moscow,Bronnitskii
Moscow,Vereiskii
Moscow,Volokolamskii
Moscow,Dmitrovskii
Moscow,Zvenigorodskii
Moscow,Klinskii
Moscow,Kolomenskii
Moscow,Mozhaiskii
Moscow,Podol'skii
