MasterID	id	Volume	PageNum	StartMonth	StartYear	EndMonth	EndYear	EventTimeframe	Guberniya1	Guberniya2	Guberniya3	Guberniya4	NumUyezd	NumVillage	NumEstate	PeasantType	PeasantNum	PeasantCause1	PeasantCause2	PeasantCause3	PeasantCause4	PeasantCause5	PeasantAction1	PeasantAction2	PeasantAction3	PeasantAction4	PeasantAction5	GovtResponse1	GovtResponse2	GovtResponse3	GovtResponse4	GovtResponse5	Notable	TimeStamp	Problem	UyezdNum	VillageNum	PubNum	PubCause	Notes	Translation	EstateNum
1	652	1	690	1	1851	1	1851	3	34				1	1	1	3		9999					2					9999					0	"2010-08-17 15:04:49"	0							
2	653	1	690	1	1851	1	1851	1	45				1	1	1	3	"52"	10					16					9999					0	"2010-08-17 15:06:25"	0							
3	654	1	690	1	1851	8	1853	3	29				2	7	1	3		9999					2	16				1					0	"2010-08-17 15:07:11"	0					"Note: Peasants don't want to recognize someone as an owner."		
4	655	1	690	2	1851	2	1851	1	29				1	1	1	2		20					16					9999					0	"2010-08-17 15:08:43"	0							
5	656	1	691	3	1851	3	1851	3	25				1	1	9999	6		2					2	36				9999					0	"2010-08-17 15:09:47"	0							
6	657	1	691	3	1851	3	1851	1	45				1	1	1	3		12					16					9999					0	"2010-08-17 15:29:49"	0							
7	658	1	691	4	1851	4	1851	3	13				1	2	1	3		9999					2					1					0	"2010-08-17 15:31:10"	0					"Note: Peasants don't want to recognize someone as an owner."		
8	659	1	691	5	1851	8	1852	3	34				1	1	1	3	"7"	2					34	2				9999					0	"2010-08-17 15:31:46"	0							
9	660	1	691	5	1851	5	1851	3	14				1	9999	1	3		9999					7					9999					0	"2010-08-17 15:32:56"	0							
10	661	1	691	5	1851	9	1851	3	10				1	1	1	3	"30"	22					30					1					0	"2010-08-17 15:49:24"	0							
11	662	1	691	14	1851	14	1851	3	43				1	1	1	3		9999					2	36				9999					0	"2010-08-17 15:50:08"	0					"Note: Peasants don't want to recognize someone as an owner."		
12	663	1	691	6	1851	6	1851	3	41				1	9999	1	3		9999					2	36				1					0	"2010-08-17 15:51:02"	0							
13	664	1	691	6	1851	6	1851	3	41				1	1	2	2		9999					28					9999					0	"2010-08-17 15:51:53"	0					"Note: Peasants took back the livestock that was seized from them for ruining the landowners' properties."		
14	665	1	691	6	1851	6	1851	3	33				1	1	1	3		9999					2					9999					0	"2010-08-17 15:55:00"	0					"Note: Peasants don't want to recognize someone as an owner."		
15	666	1	691	6	1851	6	1851	1	40				1	3	1	3		12					13					9999					0	"2010-08-17 15:56:09"	0							
16	667	1	692	6	1851	6	1851	3	14				1	1	1	2		17					25					9999					0	"2010-08-17 15:57:36"	0					"Note: State peasants killed the landlord of a neighboring estate, who seized their property."		
17	668	1	692	6	1851	6	1851	3	39				1	1	1	3	"280"	22					2					1					0	"2010-08-17 15:58:27"	0					"Note: Peasants were transferred to the status of state peasants and were to be resettled to state land."		
18	669	1	692	6	1851	6	1851	1	40				1	1	1	3	"1"	2					25					9999					1	"2010-08-17 15:59:52"	0							
19	670	1	692	6	1851	12	1851	3	32				1	2	9999	6		9999					6	2				9999					0	"2010-08-17 16:00:42"	0							
20	671	1	692	6	1851	6	1851	3	32				1	1	1	3		9999					2					9999					0	"2010-08-17 16:01:56"	0					"Note: Peasants don't want to recognize someone as an owner."		
21	672	1	692	6	1851	1	1852	3	34				1	1	1	3		2					30					9999					0	"2010-08-17 16:02:49"	0							
22	673	1	692	6	1851	11	1851	3	2				1	2	1	3		9999					2					1					0	"2010-08-17 16:05:04"	0							
23	674	1	692	7	1851	7	1851	3	19				1	1	1	3		9999					30					9999					0	"2010-08-17 16:06:03"	0							
24	675	1	692	7	1851	7	1851	3	19				1	9999	1	3	"17"	2					24	34				9999					0	"2010-08-17 16:06:34"	0							
25	676	1	692	7	1851	7	1851	3	34				1	9999	1	3		9999					2					9999					0	"2010-08-17 16:07:37"	0							
26	677	1	692	7	1851	7	1851	3	34				1	9999	1	3		9999					2					9999					0	"2010-08-17 16:08:12"	0							
27	678	1	692	7	1851	7	1851	3	34				1	9999	1	3		12					30					9999					0	"2010-08-17 16:08:58"	0							
28	679	1	692	7	1851	7	1854	2	9				1	1	1	3		10					14	28				9999					0	"2010-08-17 16:09:44"	0							
29	680	1	693	8	1851	8	1851	1	10				1	9999	1	3	"3"	2					25					9999					0	"2010-08-17 16:10:49"	0							
