gub	id	Name	State_Male	State_Female	Colon_M	Colon_F	Udel_M	Udel_F	Mill_M	Mill_F	Other_M	Other_F	FieldSerfs_M	FieldSerfs_F	HouseSerfs_M	HouseSerfs_F	Military_M	Military_F	Total_M	Total_F	Total_All
1	1	"Arkhangelsk"	82860	91266			25519	27777			192	206	76	39	47	50			108694	119338	228032
2	2	"Astrakhan"	85884	86152	79	62	1036	972	219	220	7	4	6993	6817	440	462			94658	94689	189347
3	3	"Bessarabia"	47595	44056	45829	42792					228366	224347	2792	2823	3101	2775			327683	316793	644476
41	4	"Vilna"	115771	132929			54	49			4942	5144	199718	207918	7399	4248			327884	340288	668172
42	5	"Vitebsk"	66168	68772			7228	6945			687	729	219630	228017	4408	4696			298121	309159	607280
43	6	"Vladimir"	136692	150358			30228	34326			12867	14108	319024	341380	10474	11642			509285	551814	1061099
51	7	"Vologda"	260942	286093			38236	44145	488	436	3629	3981	107171	117303	2725	3007			413191	454965	868156
44	8	"Volhynia"	169965	175897	1750	1797							341513	354393	206	211			513434	532298	1045732
45	9	"Voronezh"	599796	634781	864	884					7693	8243	233976	230123	26064	23609			868393	897640	1766033
46	10	"Vyatka"	793553	881369	7	10	82740	91118	12961	13528	25614	27055	17456	19181	817	881	7318	6934	940466	1040076	1980542
7	11	"Hrodna"	136699	143729	1831	1882					646	598	187685	195065	5327	4854			332188	346068	678256
56	12	"Don Voisko"											140090	140326	3878	4359			143968	144685	288653
48	13	"Yekaterinoslav"	261513	259530	18079	16992	37	13	3321	3652	6496	6538	136233	138989	17925	17653			443604	443367	886971
9	14	"Kazan"	553239	583509			16627	18698			1328	1433	104194	108715	6560	6531			681948	718886	1400834
8	15	"Kaluga"	97626	103009							14014	14006	275591	304657	12988	16517			400219	440189	840408
12	16	"Kiev"	137222	142900			861	912			7808	7559	553492	572994	4624	4792	21351	19922	725358	749079	1474437
14	17	"Kovno"	111531	123104							2143	2284	159350	173119	35205	38376			308229	338883	647112
13	18	"Kostroma"	91572	107502			62803	73784			98	127	281061	307909	12020	14037			447554	503359	950913
50	19	"Kurliandia"	76525	87051							144692	162989							221217	250040	471257
15	20	"Kursk"	431608	451517									312266	316731	52835	52440			796709	820688	1617397
55	21	"Livonia"	64464	71922	1735	1740	8	4			292128	328526							358335	402192	760527
16	22	"Minsk"	63675	65832	47	58	7	6					293659	309353	4159	4108	2	3	361549	379360	740909
17	23	"Mogilev"	36622	38856			4499	4882			4849	4679	280925	304314	5904	6181			332799	358912	691711
49	24	"Moscow"	222545	219696	18	10	42365	44004	96	54	6257	6653	344652	333763	39682	30351	6	7	655621	634538	1290159
18	25	"Nizhni Novgorod"	116894	129941	6	8	37428	42376			27451	28918	340647	374797	10022	10702			532448	586742	1119190
19	26	"Novgorod"	111376	125502	489	532	87673	98842			92	105	187798	203406	13972	14980			401400	443367	844767
20	27	"Olonets"	87224	100531			1245	1499	25098	27580	560	653	5057	5545	439	485			119623	136293	255916
22	28	"Orenburg"	209745	227226	2	5	27118	29930	18648	19641	47145	52340	60819	64356	5417	6068	296021	290238	664915	689804	1354719
21	29	"Orel"	225670	239934			37586	38289			5122	5230	324493	332874	36432	37697			629303	654024	1283327
23	30	"Penza"	249314	257342	6	6	3	2			1919	2028	266472	276800	16075	15927			533789	552105	1085894
24	31	"Perm"	480860	529574			17675	19109	67946	71252	134288	148068	169371	195178	6539	8001	32613	29279	909292	1000461	1909753
26	32	"Podolia"	115360	116084	122	120					6102	6223	520040	534116	1987	1924	28919	29506	672530	687973	1360503
27	33	"Poltava"	461998	485766	290	258							285617	310143	40878	45064			788672	841231	1629923
28	34	"Pskov"	111311	120712	4	3							175078	188235	10009	11612			296402	320562	616964
29	35	"Ryazan"	223867	232443			21	12					376891	381184	23922	22081			624701	635720	1260421
30	36	"Samara"	385541	404268	43463	42679	116744	129317			518	560	103481	109772	9775	10064			659522	696660	1356182
25	37	"Petersburg"	94591	75041	2359	3265	48248	48636			1412	1507	208035	172079	28732	19699	173	96	383550	319323	702873
32	38	"Saratov"	272538	285195	58283	56696	28705	31536					326729	347762	12488	13771			698743	734960	1433703
33	39	"Simbirsk"	38091	38824			243079	264862					201383	215004	12830	13117			495383	531807	1027190
34	40	"Smolensk"	94209	102723							1249	1408	343433	366073	23682	25332			462573	495536	958109
37	41	"Taurida"	245331	212937	21925	21070	25	7			905	840	21083	19608	1831	1659	289	111	291389	256232	547621
36	42	"Tambov"	458479	473297			2		1080	1063	3104	3203	354207	349884	27398	27872			844270	855319	1699589
40	43	"Tver"	229959	256711			28029	31798					340734	368868	21420	22265			620142	679642	1299784
39	44	"Tula"	91286	94135							588	537	371720	375325	31143	30364			494737	500361	995098
10	45	"Kharkov"	314505	322414	12	2	17	16			40557	40879	208092	216577	42231	44866	97941	91242	703355	715996	1419351
11	46	"Kherson"	50001	48084	30809	28622	138	32			9765	9583	130942	131950	32352	30215	87356	79975	341363	328461	666824
4	47	"Chernigov"	316531	335595	1533	1578	40	24					268165	279467	12675	12768			598944	629432	1228376
6	48	"Estonia"	1972	2149			30	37			127343	139576							129345	141762	271107
47	49	"Yaroslavl"	116637	142633							7005	9904	246866	276317	11288	14236			381796	443090	824886
