name	gub	russia1d_i	sample
"Estonia"	6	19	1
"Livonia"	55	20	1
"Kurliandia"	50	21	1
"Kovno"	14	22	1
"Vilna"	41	23	1
"Hrodna"	7	24	1
"Minsk"	16	25	1
"Volhynia"	44	26	1
"Podolia"	26	27	1
"Bessarabia"	3	28	1
"Kherson"	11	29	1
"Kiev"	12	30	1
"Mogilev"	17	31	1
"Vitebsk"	42	32	1
"Pskov"	28	33	1
"Petersburg"	25	34	1
"Olonets"	20	35	1
"Novgorod"	19	36	1
"Tver"	40	37	1
"Smolensk"	34	38	1
"Kaluga"	8	39	1
"Orel"	21	40	1
"Chernigov"	4	41	1
"Kursk"	15	42	1
"Poltava"	27	43	1
"Kharkov"	10	44	1
"Yekaterinoslav"	48	45	1
"Taurida"	37	46	1
"Voronezh"	45	47	1
"Tambov"	36	48	1
"Tula"	39	49	1
"Ryazan"	29	50	1
"Moscow"	49	51	1
"Vladimir"	43	52	1
"Yaroslavl"	47	53	1
"Kostroma"	13	54	1
"Vologda"	51	55	1
"Arkhangelsk"	1	56	1
"Vyatka"	46	57	1
"Perm"	24	58	1
"Nizhni Novgorod"	18	59	1
"Kazan"	9	60	1
"Orenburg"	22	62	1
"Samara"	30	63	1
"Simbirsk"	33	64	1
"Penza"	23	65	1
"Saratov"	32	66	1
"Don Voisko"	56	67	1
"Astrakhan"	2	68	1
"Stavropol"	53	70	1
"Kutaisi"	52	73	1
"Tiflis"	38	74	1
"Dagestan"	57	75	1
"Erivan"	54	78	1
