gub	Name	startyear
1	"Arkhangelsk"	1851
1	"Arkhangelsk"	1852
1	"Arkhangelsk"	1853
1	"Arkhangelsk"	1854
1	"Arkhangelsk"	1855
1	"Arkhangelsk"	1856
1	"Arkhangelsk"	1857
1	"Arkhangelsk"	1858
1	"Arkhangelsk"	1859
1	"Arkhangelsk"	1860
1	"Arkhangelsk"	1861
1	"Arkhangelsk"	1862
1	"Arkhangelsk"	1863
1	"Arkhangelsk"	1864
1	"Arkhangelsk"	1865
1	"Arkhangelsk"	1866
1	"Arkhangelsk"	1867
1	"Arkhangelsk"	1868
1	"Arkhangelsk"	1869
1	"Arkhangelsk"	1870
1	"Arkhangelsk"	1871
2	"Astrakhan"	1851
2	"Astrakhan"	1852
2	"Astrakhan"	1853
2	"Astrakhan"	1854
2	"Astrakhan"	1855
2	"Astrakhan"	1856
2	"Astrakhan"	1857
2	"Astrakhan"	1858
2	"Astrakhan"	1859
2	"Astrakhan"	1860
2	"Astrakhan"	1861
2	"Astrakhan"	1862
2	"Astrakhan"	1863
2	"Astrakhan"	1864
2	"Astrakhan"	1865
2	"Astrakhan"	1866
2	"Astrakhan"	1867
2	"Astrakhan"	1868
2	"Astrakhan"	1869
2	"Astrakhan"	1870
2	"Astrakhan"	1871
3	"Bessarabia"	1851
3	"Bessarabia"	1852
3	"Bessarabia"	1853
3	"Bessarabia"	1854
3	"Bessarabia"	1855
3	"Bessarabia"	1856
3	"Bessarabia"	1857
3	"Bessarabia"	1858
3	"Bessarabia"	1859
3	"Bessarabia"	1860
3	"Bessarabia"	1861
3	"Bessarabia"	1862
3	"Bessarabia"	1863
3	"Bessarabia"	1864
3	"Bessarabia"	1865
3	"Bessarabia"	1866
3	"Bessarabia"	1867
3	"Bessarabia"	1868
3	"Bessarabia"	1869
3	"Bessarabia"	1870
3	"Bessarabia"	1871
4	"Chernigov"	1851
4	"Chernigov"	1852
4	"Chernigov"	1853
4	"Chernigov"	1854
4	"Chernigov"	1855
4	"Chernigov"	1856
4	"Chernigov"	1857
4	"Chernigov"	1858
4	"Chernigov"	1859
4	"Chernigov"	1860
4	"Chernigov"	1861
4	"Chernigov"	1862
4	"Chernigov"	1863
4	"Chernigov"	1864
4	"Chernigov"	1865
4	"Chernigov"	1866
4	"Chernigov"	1867
4	"Chernigov"	1868
4	"Chernigov"	1869
4	"Chernigov"	1870
4	"Chernigov"	1871
6	"Estonia"	1851
6	"Estonia"	1852
6	"Estonia"	1853
6	"Estonia"	1854
6	"Estonia"	1855
6	"Estonia"	1856
6	"Estonia"	1857
6	"Estonia"	1858
6	"Estonia"	1859
6	"Estonia"	1860
6	"Estonia"	1861
6	"Estonia"	1862
6	"Estonia"	1863
6	"Estonia"	1864
6	"Estonia"	1865
6	"Estonia"	1866
6	"Estonia"	1867
6	"Estonia"	1868
6	"Estonia"	1869
6	"Estonia"	1870
6	"Estonia"	1871
7	"Hrodna"	1851
7	"Hrodna"	1852
7	"Hrodna"	1853
7	"Hrodna"	1854
7	"Hrodna"	1855
7	"Hrodna"	1856
7	"Hrodna"	1857
7	"Hrodna"	1858
7	"Hrodna"	1859
7	"Hrodna"	1860
7	"Hrodna"	1861
7	"Hrodna"	1862
7	"Hrodna"	1863
7	"Hrodna"	1864
7	"Hrodna"	1865
7	"Hrodna"	1866
7	"Hrodna"	1867
7	"Hrodna"	1868
7	"Hrodna"	1869
7	"Hrodna"	1870
7	"Hrodna"	1871
8	"Kaluga"	1851
8	"Kaluga"	1852
8	"Kaluga"	1853
8	"Kaluga"	1854
8	"Kaluga"	1855
8	"Kaluga"	1856
8	"Kaluga"	1857
8	"Kaluga"	1858
8	"Kaluga"	1859
8	"Kaluga"	1860
8	"Kaluga"	1861
8	"Kaluga"	1862
8	"Kaluga"	1863
8	"Kaluga"	1864
8	"Kaluga"	1865
8	"Kaluga"	1866
8	"Kaluga"	1867
8	"Kaluga"	1868
8	"Kaluga"	1869
8	"Kaluga"	1870
8	"Kaluga"	1871
9	"Kazan"	1851
9	"Kazan"	1852
9	"Kazan"	1853
9	"Kazan"	1854
9	"Kazan"	1855
9	"Kazan"	1856
9	"Kazan"	1857
9	"Kazan"	1858
9	"Kazan"	1859
9	"Kazan"	1860
9	"Kazan"	1861
9	"Kazan"	1862
9	"Kazan"	1863
9	"Kazan"	1864
9	"Kazan"	1865
9	"Kazan"	1866
9	"Kazan"	1867
9	"Kazan"	1868
9	"Kazan"	1869
9	"Kazan"	1870
9	"Kazan"	1871
10	"Kharkov"	1851
10	"Kharkov"	1852
10	"Kharkov"	1853
10	"Kharkov"	1854
10	"Kharkov"	1855
10	"Kharkov"	1856
10	"Kharkov"	1857
10	"Kharkov"	1858
10	"Kharkov"	1859
10	"Kharkov"	1860
10	"Kharkov"	1861
10	"Kharkov"	1862
10	"Kharkov"	1863
10	"Kharkov"	1864
10	"Kharkov"	1865
10	"Kharkov"	1866
10	"Kharkov"	1867
10	"Kharkov"	1868
10	"Kharkov"	1869
10	"Kharkov"	1870
10	"Kharkov"	1871
11	"Kherson"	1851
11	"Kherson"	1852
11	"Kherson"	1853
11	"Kherson"	1854
11	"Kherson"	1855
11	"Kherson"	1856
11	"Kherson"	1857
11	"Kherson"	1858
11	"Kherson"	1859
11	"Kherson"	1860
11	"Kherson"	1861
11	"Kherson"	1862
11	"Kherson"	1863
11	"Kherson"	1864
11	"Kherson"	1865
11	"Kherson"	1866
11	"Kherson"	1867
11	"Kherson"	1868
11	"Kherson"	1869
11	"Kherson"	1870
11	"Kherson"	1871
12	"Kiev"	1851
12	"Kiev"	1852
12	"Kiev"	1853
12	"Kiev"	1854
12	"Kiev"	1855
12	"Kiev"	1856
12	"Kiev"	1857
12	"Kiev"	1858
12	"Kiev"	1859
12	"Kiev"	1860
12	"Kiev"	1861
12	"Kiev"	1862
12	"Kiev"	1863
12	"Kiev"	1864
12	"Kiev"	1865
12	"Kiev"	1866
12	"Kiev"	1867
12	"Kiev"	1868
12	"Kiev"	1869
12	"Kiev"	1870
12	"Kiev"	1871
13	"Kostroma"	1851
13	"Kostroma"	1852
13	"Kostroma"	1853
13	"Kostroma"	1854
13	"Kostroma"	1855
13	"Kostroma"	1856
13	"Kostroma"	1857
13	"Kostroma"	1858
13	"Kostroma"	1859
13	"Kostroma"	1860
13	"Kostroma"	1861
13	"Kostroma"	1862
13	"Kostroma"	1863
13	"Kostroma"	1864
13	"Kostroma"	1865
13	"Kostroma"	1866
13	"Kostroma"	1867
13	"Kostroma"	1868
