masterid	Province	Uezd	ProvinceNumber	UezdNumber	HouseholdSerfs_1859	BarshchinaSerfs_1859	ObrokSerfs_1859
1	"Arkhangel'sk"	"Arkhangel'skii"	1	1			
2	"Arkhangel'sk"	"Kemskii"	1	2			
3	"Arkhangel'sk"	"Kol'skii"	1	4			
4	"Arkhangel'sk"	"Mezenskii"	1	5			
5	"Arkhangel'sk"	"Onezhskii"	1	6			
6	"Arkhangel'sk"	"Pechorskii"	1	7			
7	"Arkhangel'sk"	"Pinezhskii"	1	8			
8	"Arkhangel'sk"	"Kholmogorskii"	1	3			
9	"Arkhangel'sk"	"Shenkurskii"	1	9			
11	"Astrakhan"	"Astrakhanskii"	2	1	128	153	1242
12	"Astrakhan"	"Ienotaevskii"	2	3	36	35	209
13	"Astrakhan"	"Krasnoiarskii"	2	4	0	12	402
14	"Astrakhan"	"Tsarevskii"	2	5	9	17	130
15	"Astrakhan"	"Chernoiarskii"	2	2	36	125	313
18	"Bessarabia"	"Kashinevskii"	3	6			
19	"Bessarabia"	"Akkermanskii"	3	1			
20	"Bessarabia"	"Benderskii"	3	3			
21	"Bessarabia"	"Beletskii"	3	2			
22	"Bessarabia"	"Orgeevskii"	3	8			
23	"Bessarabia"	"Sorokskii"	3	9			
24	"Bessarabia"	"Khotinksii"	3	7			
25	"Bessarabia"	"Ismail'skii"	3	5			
26	"Bessarabia"	"Iasskii"	3	4			
27	"Chernigov"	"Chernigovskii"	4	2	1887	11727	0
28	"Chernigov"	"Borzenskii"	4	1	486	12138	0
29	"Chernigov"	"Glukhovskii"	4	3	2812	14882	0
30	"Chernigov"	"Gorodnitskii"	4	4	2173	17504	0
31	"Chernigov"	"Kozeletskii"	4	6	1438	13791	0
32	"Chernigov"	"Konotopskii"	4	5	2605	12639	287
33	"Chernigov"	"Krolevetskii"	4	7	812	10342	0
34	"Chernigov"	"Mglinskii"	4	8	1517	20527	0
35	"Chernigov"	"Novgorod-Severskii"	4	10	1036	19558	0
36	"Chernigov"	"Novozybkovskii"	4	11	1174	26022	0
37	"Chernigov"	"Nezhinskii"	4	9	1401	15022	0
38	"Chernigov"	"Osterskii"	4	12	1184	3662	0
39	"Chernigov"	"Sosnitskii"	4	13	2788	17864	102
40	"Chernigov"	"Starodubskii"	4	14	2523	20156	0
41	"Chernigov"	"Surazhskii"	4	15	627	27325	0
42	"Ekaterinoslav'"	"Ekaterinoslavskii"	5	3	2438	11781	131
43	"Ekaterinoslav'"	"Aleksandrovskii"	5	1	2333	13183	0
44	"Ekaterinoslav'"	"Bakhmutskii"	5	2	5537	21321	0
45	"Ekaterinoslav'"	"Verkhnedneprovskii"	5	10	5274	17584	0
46	"Ekaterinoslav'"	"Maripolskii"	5	4			
47	"Ekaterinoslav'"	"Novomoskovskii"	5	5	2910	19471	0
48	"Ekaterinoslav'"	"Pavlogradskii"	5	6	4680	21539	0
49	"Ekaterinoslav'"	"Slavianoserbskii"	5	8	3628	19236	64
