Gub	Guberniya	ComPM	ComPF	ComHM	ComHF	ConM	ConF	DepSerfM	DepSerfF	MillM	MillF	TotPopM	TotPopF	Estates	Book_ID
1	"Arkhangelsk"	0	0	6	14	0	0	0	0	0	0	134058	140893	3	1
2	"Astrakhan"	5722	6126	268	311	0	0	0	0	0	0	242305	235187	86	2
3	"Bessarabia"	2481	2441	3005	2917	0	0	0	0	0	0	480582	438525	271	3
41	"Vilna"	179188	188966	9824	9481	6806	7265	460	559	0	0	437497	438619	2096	4
42	"Vitebsk"	208868	220824	5989	5914	1704	1699	589	646	0	0	391961	389780	1571	5
43	"Vladimir"	313818	348723	12877	13004	0	0	1695	1808	3692	3915	584927	622981	2659	6
51	"Vologda"	99135	108404	3670	3943	0	0	535	591	691	808	456416	495177	1264	7
44	"Volhynia"	336158	350753	195	221	86418	90272	64	80	0	0	754215	774113	2341	8
45	"Voronezh"	225297	226282	32373	33030	0	0	204	216	1170	1310	958999	971860	2632	9
46	"Vyatka"	16850	18596	773	839	0	0	0	0	9244	9871	1007287	1116617	106	10
7	"Hrodna"	162909	173054	6925	6282	1977	2011	3961	4183	0	0	439126	442755	1605	11
56	"Don Voisko"	140802	140307	2461	2586	0	0	0	0	0	0	442174	454696	2911	12
48	"Yekaterinoslav"	134560	137675	28498	27797	0	0	0	0	0	0	532853	509828	2448	13
9	"Kazan"	95242	101666	7846	8097	0	0	0	0	751	816	759313	784031	907	14
8	"Kaluga"	269824	286208	14800	14865	0	0	33	52	18130	18704	489914	517557	2440	15
12	"Kiev"	530629	549792	3560	3743	16632	16706	0	0	0	0	972020	972314	1554	16
14	"Kovno"	159350	173119	7439	7166	8266	9346	0	0	0	0	474079	514208	1547	17
13	"Kostroma"	277818	307613	14771	16985	0	0	0	0	241	257	507756	568232	3264	18
15	"Kursk"	281841	281470	67162	69337	0	0	1479	1485	10842	10973	902859	909113	5475	19
16	"Minsk"	265305	281497	7447	6987	17766	18892	609	757	0	0	489439	497032	1967	20
17	"Mogilev"	269975	286322	7728	7455	0	0	396	393	0	0	430985	455655	2163	21
49	"Moscow"	283482	302429	14537	14184	0	0	986	1147	2157	2390	825643	774165	2439	22
18	"Nizhni Novgorod"	337974	373909	9418	9182	0	0	0	0	5944	6366	602853	656753	1411	23
19	"Novgorod"	187647	205293	12820	14095	0	0	104	103	0	0	474931	500270	4261	24
20	"Olonets"	5104	5469	397	376	0	0	79	126	0	0	136078	151276	219	25
22	"Orenburg"	60819	64356	5781	6463	0	0	0	0	47215	52340	995014	1012061	895	26
21	"Orel"	307675	313045	43075	44283	0	0	629	618	7185	7518	761192	770842	3823	27
23	"Penza"	248529	258785	19203	19224	0	0	11	18	1888	2072	593134	595401	2029	28
24	"Perm"	171900	195388	6326	7826	0	0	0	0	131865	145852	975499	1071073	68	29
26	"Podolia"	474544	493482	3280	3026	32719	33249	380	371	0	0	874995	873471	1554	30
27	"Poltava"	285617	310143	40787	45064	0	0	22	39	0	0	890307	928803	7322	31
28	"Pskov"	175111	185528	9427	10099	0	0	0	0	0	0	346470	359992	1952	32
29	"Ryazan"	357400	364825	34680	34559	0	0	67	64	7049	7751	713783	713516	5215	33
30	"Samara"	103481	109772	9879	10188	0	0	40	43	505	545	747502	782537	887	34
25	"Petersburg"	114910	124838	6312	6654	1228	1408	1991	2170	383	398	633043	450048	1509	35
32	"Saratov"	301252	312193	22148	21952	0	0	2	6	0	0	808836	827299	2592	36
33	"Simbirsk"	202008	214865	12912	12670	0	0	14	15	242	286	555176	585797	1625	37
34	"Smolensk"	343433	366073	23682	35332	0	0	703	815	551	598	537106	564970	5308	38
53	"Stavropol"	6848	6891	865	868	0	0	0	0	0	0	336460	304279	130	39
37	"Taurida"	17876	17766	2723	2673	0	0	11	14	0	0	371931	315412	396	40
36	"Tambov"	331182	334351	39482	39992	0	0	26	36	8038	8600	953594	956860	3265	41
40	"Tver"	341381	372294	20321	21112	0	0	0	0	0	0	717191	774236	3507	42
39	"Tula"	363918	372303	32685	33378	0	0	1550	1673	1275	1361	593703	578546	3864	43
10	"Kharkov"	185894	193901	44202	47045	0	0	59	64	0	0	793427	789144	3265	44
11	"Kherson"	129597	131163	31076	29414	0	0	0	0	0	0	533331	494128	2688	45
4	"Chernigov"	240721	259279	25689	27933	0	0	0	0	0	0	726144	745722	4445	46
47	"Yaroslavl"	243643	279623	13653	14573	0	0	2651	3212	66	107	454091	522775	2810	47
6	"Estonia"														
38	"Tiflis"	76226	62656			0	0	0	0	0	0	353779	293350		
50	"Kurliandia"														
52	"Kutaisi"	85988	80065			0	0	107751	93851	0	0	328887	286826		
54	"Erivan"														
55	"Livonia"														
57	"Dagestan"														
58	"Ufa"														
